codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao,timestamp
903027,,38,-22.876951,-43.330188,2025-01-30 04:54:46,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],177751.5, ,0.0,2025-02-17 09:24:49.047016
901066,,51,-22.971798,-43.387471,2025-02-17 12:24:47,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],194051.9,127,1.0,2025-02-17 09:24:49.047016
903026,,42,-22.853538,-43.248316,2025-02-17 12:24:46,27.8,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],213327.2,221,1.0,2025-02-17 09:24:49.047016
903029,,42,-22.854681,-43.25406,2025-02-17 12:24:44,29.5,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],145846.8,99,1.0,2025-02-17 09:24:49.047016
902116,,41,-23.000894,-43.430611,2025-02-17 12:24:42,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],102635.2,49,1.0,2025-02-17 09:24:49.047016
902115,,0,-22.876017,-43.329414,2024-08-31 07:33:01,0.0,,,,54751.3, ,0.0,2025-02-17 09:24:49.047016
903028,,42,-22.839935,-43.239388,2025-02-17 12:24:45,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],211905.3,143,1.0,2025-02-17 09:24:49.047016
901061,,51,-22.984771,-43.412698,2025-02-17 12:24:38,59.6,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],234682.8,220,1.0,2025-02-17 09:24:49.047016
903030,,42,-22.847051,-43.243604,2025-02-17 12:24:23,12.8,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],0.0,73,1.0,2025-02-17 09:24:49.047016
903057,,17,-22.920533,-43.60797,2023-06-26 07:59:59,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],12199.8, ,,2025-02-17 09:24:49.047016
901051,,35,-22.916023,-43.361739,2025-02-17 12:24:44,0.5,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],151130.6,206,1.0,2025-02-17 09:24:49.047016
901064,,52,-22.964659,-43.395219,2025-02-17 12:24:28,52.1,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],222682.0,220,1.0,2025-02-17 09:24:49.047016
902107,,40,-22.973342,-43.368909,2025-02-17 12:24:38,55.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],104137.0,89,1.0,2025-02-17 09:24:49.047016
901049,,50,-23.000954,-43.366167,2025-02-17 12:24:44,20.9,,volta,50 - JARDIM OCEÂNICO X  TERMINAL CENTRO OLIMPICO (PARADOR) [VOLTA],97695.2,268,1.0,2025-02-17 09:24:49.047016
901073,,53,-23.002187,-43.365941,2025-02-17 12:08:49,0.0,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],25594.0, ,0.0,2025-02-17 09:24:49.047016
901048,,51,-23.00839,-43.440738,2025-02-17 12:14:17,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],170184.7,253,0.0,2025-02-17 09:24:49.047016
901065,,53,-22.97193,-43.400481,2025-02-17 12:20:44,21.0,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],199351.6,359,1.0,2025-02-17 09:24:49.047016
903031,,38,-22.876353,-43.330424,2025-02-17 12:24:45,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],156251.0, ,1.0,2025-02-17 09:24:49.047016
902092,,41,-23.008509,-43.440578,2025-02-17 12:24:40,0.4,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],96070.0,218,1.0,2025-02-17 09:24:49.047016
903032,,42,-22.84457,-43.301303,2025-02-17 12:24:37,2.8,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],137064.9,210,1.0,2025-02-17 09:24:49.047016
901075,,53,-23.00136,-43.366421,2025-02-17 12:24:44,0.0,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],226773.9,87,1.0,2025-02-17 09:24:49.047016
903055,,17,-22.914315,-43.601179,2025-02-17 12:24:25,17.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],62954.1,103,1.0,2025-02-17 09:24:49.047016
902112,,40,-22.944479,-43.372311,2025-02-17 12:24:31,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],96250.2,166,1.0,2025-02-17 09:24:49.047016
903037,,17,-22.920202,-43.681453,2025-02-17 12:24:39,29.3,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],79765.2,136,1.0,2025-02-17 09:24:49.047016
903002,,42,-22.876466,-43.335667,2025-02-17 12:24:27,36.1,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],25570.9,208,1.0,2025-02-17 09:24:49.047016
901080,,53,-22.883823,-43.399629,2025-02-17 12:24:28,0.0,,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],201884.2, ,1.0,2025-02-17 09:24:49.047016
902110,,40,-22.877084,-43.339987,2025-02-17 12:24:38,27.2,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],95118.2,215,1.0,2025-02-17 09:24:49.047016
902114,,40,-22.9202,-43.368186,2025-02-17 12:24:31,33.2,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],83489.8,54,1.0,2025-02-17 09:24:49.047016
902078,,40,-22.991695,-43.365942,2025-02-17 12:24:45,58.3,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],98029.1,181,1.0,2025-02-17 09:24:49.047016
902111,,40,-22.96843,-43.390853,2025-02-17 12:24:01,43.7,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],98703.6,180,1.0,2025-02-17 09:24:49.047016
902025,,43,-22.839762,-43.240161,2025-02-17 12:05:31,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],90075.7, ,0.0,2025-02-17 09:24:49.047016
903054,,17,-22.90172,-43.556206,2025-02-17 12:17:46,24.4,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],135899.3,57,1.0,2025-02-17 09:24:49.047016
903021,,38,-22.876103,-43.329665,2024-12-04 15:04:51,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],156790.4, ,0.0,2025-02-17 09:24:49.047016
903056,,14,-23.016012,-43.517746,2025-02-17 12:24:11,53.6,,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],140263.1,98,1.0,2025-02-17 09:24:49.047016
903000,,42,-22.876528,-43.329507,2025-02-17 11:37:01,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],160668.9,89,0.0,2025-02-17 09:24:49.047016
903058,,17,-22.90396,-43.556659,2025-02-17 12:24:27,9.7,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],70883.0,6,1.0,2025-02-17 09:24:49.047016
901072,,53,-22.964522,-43.392148,2025-02-17 12:06:48,0.0,,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],177102.5,339,0.0,2025-02-17 09:24:49.047016
902045,,41,-22.923161,-43.37402,2025-02-17 12:24:43,26.0,,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],113472.2,199,1.0,2025-02-17 09:24:49.047016
903008,,42,-22.852355,-43.316198,2025-02-17 12:24:43,29.7,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],156101.9,83,1.0,2025-02-17 09:24:49.047016
903007,,42,-22.876227,-43.329523,2025-02-15 12:52:46,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],187800.7,63,0.0,2025-02-17 09:24:49.047016
903004,,38,-22.803963,-43.341144,2025-02-16 05:01:27,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],144552.8, ,0.0,2025-02-17 09:24:49.047016
903006,,38,-22.877021,-43.330008,2025-02-17 12:24:32,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],163333.4,250,1.0,2025-02-17 09:24:49.047016
901046,,35,-22.964589,-43.392162,2025-02-17 12:24:34,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2928.3,342,1.0,2025-02-17 09:24:49.047016
903005,,42,-22.845165,-43.268126,2025-02-17 12:24:14,27.2,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],149469.7,320,1.0,2025-02-17 09:24:49.047016
903022,,42,-22.838774,-43.240386,2025-02-17 12:24:47,23.5,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],211106.7,104,1.0,2025-02-17 09:24:49.047016
903035,,17,-22.901274,-43.553411,2025-02-17 12:06:32,0.0,,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],11596.3,77,1.0,2025-02-17 09:24:49.047016
901059,,51,-22.989705,-43.417919,2025-02-17 10:44:45,0.0,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],222001.7,43,0.0,2025-02-17 09:24:49.047016
903003,,42,-22.812811,-43.246505,2025-02-17 12:24:45,26.1,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],144050.2,197,1.0,2025-02-17 09:24:49.047016
901019,,22,-23.001036,-43.32948,2025-02-17 12:24:37,10.9,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],164059.8,287,1.0,2025-02-17 09:24:49.047016
901020,,22,-22.965079,-43.391329,2025-02-17 12:22:56,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],133625.299,47,0.0,2025-02-17 09:24:49.047016
901021,,50,-22.965087,-43.391431,2025-02-17 10:43:00,0.0,,ida,50 - TERMINAL CENTRO OLIMPICO X  JARDIM OCEÂNICO (PARADOR) [IDA],150939.5,195,0.0,2025-02-17 09:24:49.047016
901022,,53,-23.000973,-43.364473,2025-02-17 12:22:10,18.8,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],188145.6,267,1.0,2025-02-17 09:24:49.047016
901023,,51,-22.954856,-43.391944,2025-02-17 12:22:46,59.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],219590.8,42,1.0,2025-02-17 09:24:49.047016
901024,,35,-22.889641,-43.346649,2025-02-17 12:24:34,34.8,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],131240.9,30,1.0,2025-02-17 09:24:49.047016
901025,,35,-22.929335,-43.373407,2025-02-17 12:24:34,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],171312.3,12,1.0,2025-02-17 09:24:49.047016
901026,,35,-22.96526,-43.391546,2025-02-17 12:03:51,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],214315.3, ,0.0,2025-02-17 09:24:49.047016
901027,,22,-23.006674,-43.312855,2025-02-17 12:24:47,12.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],187778.8,92,1.0,2025-02-17 09:24:49.047016
901028,,50,-22.986291,-43.365641,2025-02-17 12:24:34,56.3,,volta,50 - JARDIM OCEÂNICO X  TERMINAL CENTRO OLIMPICO (PARADOR) [VOLTA],147992.1, ,1.0,2025-02-17 09:24:49.047016
903001,,42,-22.849846,-43.30819,2025-02-17 12:24:39,5.8,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],164607.6,233,1.0,2025-02-17 09:24:49.047016
901029,,52,-23.00143,-43.367747,2025-02-17 12:15:29,0.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],178831.0,64,1.0,2025-02-17 09:24:49.047016
901030,,51,-22.964681,-43.391593,2025-02-15 07:00:14,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],112787.0, ,0.0,2025-02-17 09:24:49.047016
901031,,35,-22.923731,-43.373974,2025-02-17 12:24:29,45.9,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],168749.0,175,1.0,2025-02-17 09:24:49.047016
901032,,53,-22.965138,-43.391297,2025-02-17 11:49:17,0.0,,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],174993.1,100,0.0,2025-02-17 09:24:49.047016
901033,,35,-22.958496,-43.383113,2025-02-17 12:24:27,41.9,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],168898.1,256,1.0,2025-02-17 09:24:49.047016
901034,,52,-22.949456,-43.390175,2025-02-17 12:24:30,47.9,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],187572.7,162,1.0,2025-02-17 09:24:49.047016
901035,,53,-22.887893,-43.400924,2025-02-17 12:24:46,53.6,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],174316.8,2,1.0,2025-02-17 09:24:49.047016
901036,,35,-22.959866,-43.388967,2025-02-17 12:24:32,1.9,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],162835.9,254,1.0,2025-02-17 09:24:49.047016
901037,,35,-23.000641,-43.367527,2025-02-17 12:15:01,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],157239.9,87,1.0,2025-02-17 09:24:49.047016
901038,,35,-22.888974,-43.346346,2025-02-17 12:24:33,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],178362.0,201,1.0,2025-02-17 09:24:49.047016
901039,,52,-22.964913,-43.391596,2025-02-17 11:42:09,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],166983.7, ,0.0,2025-02-17 09:24:49.047016
901040,,35,-22.878484,-43.336254,2025-02-17 12:24:44,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],177555.3,307,1.0,2025-02-17 09:24:49.047016
901041,,35,-23.001419,-43.367824,2025-02-17 12:21:37,16.9,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],161142.2,98,1.0,2025-02-17 09:24:49.047016
901042,,35,-22.994352,-43.365835,2025-02-17 12:24:29,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],163574.0,359,1.0,2025-02-17 09:24:49.047016
901043,,51,-23.008469,-43.439872,2025-02-17 12:17:17,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],142977.9,67,0.0,2025-02-17 09:24:49.047016
901054,,22,-23.00069,-43.365237,2025-02-17 12:24:29,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],3083.1,94,1.0,2025-02-17 09:24:49.047016
903009,,42,-22.862491,-43.331218,2025-02-17 12:24:05,58.1,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],201950.1,42,1.0,2025-02-17 09:24:49.047016
903010,,38,-22.877428,-43.336304,2025-02-17 12:24:28,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],52271.6,232,1.0,2025-02-17 09:24:49.047016
903011,,42,-22.825723,-43.232568,2025-02-17 12:24:11,59.4,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],211920.9,37,1.0,2025-02-17 09:24:49.047016
903012,,42,-22.876687,-43.330143,2025-02-17 11:55:12,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],184479.9, ,0.0,2025-02-17 09:24:49.047016
903015,,14,-23.002431,-43.570868,2025-02-17 12:24:34,47.2,,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],151005.3,104,1.0,2025-02-17 09:24:49.047016
903016,,38,-22.876587,-43.329512,2025-02-17 11:07:04,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],204308.9,92,0.0,2025-02-17 09:24:49.047016
903017,,42,-22.85244,-43.316637,2025-02-17 12:24:26,23.2,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],152850.5,83,1.0,2025-02-17 09:24:49.047016
903018,,38,-22.876629,-43.329403,2025-02-13 06:00:10,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],97439.5, ,0.0,2025-02-17 09:24:49.047016
903019,,42,-22.852462,-43.317993,2025-02-17 12:24:32,22.3,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],116910.9,266,1.0,2025-02-17 09:24:49.047016
903020,,42,-22.861815,-43.330859,2025-02-17 12:24:37,27.3,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],75202.1,215,1.0,2025-02-17 09:24:49.047016
903023,,42,-22.837904,-43.288553,2025-02-17 12:24:45,0.0,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],147883.6,91,1.0,2025-02-17 09:24:49.047016
903024,,67,-22.92022,-43.608286,2025-02-11 05:25:54,0.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],123194.5, ,0.0,2025-02-17 09:24:49.047016
903025,,14,-23.007608,-43.546519,2025-02-17 12:24:23,58.6,,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],78871.4,89,1.0,2025-02-17 09:24:49.047016
903013,,42,-22.838685,-43.284003,2025-02-17 12:24:45,34.1,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],199497.1,125,1.0,2025-02-17 09:24:49.047016
903014,,42,-22.877787,-43.336591,2025-02-17 12:24:37,0.0,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],221895.8,92,1.0,2025-02-17 09:24:49.047016
902097,,43,-22.852849,-43.313097,2025-02-17 12:24:33,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],92253.0,187,1.0,2025-02-17 09:24:49.047016
901045,,22,-23.000266,-43.3478,2025-02-17 12:23:52,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],170216.1,89,1.0,2025-02-17 09:24:49.047016
901053,,52,-22.973243,-43.394383,2025-02-17 12:24:34,52.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],125910.5,91,1.0,2025-02-17 09:24:49.047016
901060,,51,-22.965298,-43.391412,2025-02-17 12:24:33,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],221803.1, ,1.0,2025-02-17 09:24:49.047016
903052,,17,-22.914522,-43.604197,2025-02-17 12:24:35,55.3,,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],87629.8,251,1.0,2025-02-17 09:24:49.047016
903060,,17,-22.907176,-43.574637,2025-02-17 12:24:38,17.7,,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],148196.6,233,1.0,2025-02-17 09:24:49.047016
903063,,14,-23.008323,-43.440986,2025-02-17 12:11:47,0.0,,volta,14 - TERMINAL RECREIO x SANTA EUGÊNIA (EXPRESSO) [VOLTA],134876.3,202,0.0,2025-02-17 09:24:49.047016
